White rating,Black rating,White result,Black result,Victory by checkmate,Victory by time,Victory by resignation,Opposite side castling,Other development
2103,1905,0,1,0,0,1,1,0
2075,2095,0,1,1,0,0,0,1
1988,2097,0,1,1,0,0,0,1
2317,295,1,0,0,0,1,0,1
2091,1994,1,0,1,0,0,0,1
2000,2085,0,1,0,0,0,0,1
2411,319,0,1,0,0,1,0,1
2748,320,0,1,0,0,1,0,1
2325,348,1,0,0,0,1,0,1
2746,321,0,1,0,0,1,0,1
2327,349,1,0,0,0,1,1,0
2855,1587,1,0,0,0,1,0,1
1587,2855,0,1,1,0,0,0,1
2854,2301,1,0,0,0,1,0,1
2234,2163,1,0,0,0,1,0,1
2172,2103,0,1,1,0,0,0,1
1824,2185,1,0,0,0,1,0,1
1825,2854,0,1,0,0,0,0,1
2744,321,0,1,0,0,1,0,1
2329,350,1,0,0,0,1,0,1
2742,322,0,1,0,0,1,0,1
2518,1887,1,0,0,0,1,1,0
1887,2517,0,1,1,0,0,0,1
2851,2616,1,0,1,0,0,0,1
2923,1826,1,0,1,0,0,0,1
2845,283,0,1,0,0,1,0,1
1720,2923,0,1,0,0,1,0,1
2327,431,0.5,0.5,0,0,0,0,1
2850,2611,0.5,0.5,0,0,0,0,1
2070,1951,1,0,1,0,0,0,1
2606,2855,0.5,0.5,0,0,0,0,1
1957,2064,0,1,1,0,0,0,1
2058,1963,1,0,1,0,0,0,1
2923,1148,1,0,0,0,1,0,1
2925,311,0.5,0.5,0,0,0,0,1
2315,433,0,1,1,0,0,0,1
2851,420,0.5,0.5,0,0,0,0,1
2190,323,1,0,0,0,1,0,1
2499,155,0,1,1,0,0,0,1
2851,1291,1,0,0,0,1,0,1
2080,1961,1,0,1,0,0,1,0
1967,2074,0,1,1,0,0,1,0
2085,1956,0,1,0,1,0,1,0
2313,316,0.5,0.5,0,0,0,0,1
1945,2096,1,0,0,0,1,0,1
2091,1950,1,0,1,0,0,0,1
1955,2086,0,1,1,0,0,1,0
2081,1960,1,0,1,0,0,0,1
1966,2075,0,1,1,0,0,0,1
2851,1228,1,0,1,0,0,0,1
2069,1972,1,0,1,0,0,1,0
2005,2079,1,0,0,0,1,0,1
2503,325,0.5,0.5,0,0,0,0,1
2085,2066,1,0,1,0,0,0,1
2049,438,1,0,0,0,1,0,1
2011,2093,0,1,1,0,0,0,1
2082,2198,1,0,1,0,0,0,1
2593,2864,1,0,0,0,1,0,1
2878,2579,0,1,0,1,0,0,1
2501,156,0,1,1,0,0,0,1
2581,2876,0,1,1,0,0,0,1
2873,2584,1,0,0,0,1,0,1
2578,2879,0.5,0.5,0,0,0,0,1
2877,2580,1,0,0,0,1,0,1
2574,2883,0.5,0.5,0,0,0,0,1
2889,2568,0.5,0.5,0,0,0,0,1
2027,200,0.5,0.5,0,0,0,1,0
2562,2895,0.5,0.5,0,0,0,0,1
2893,2564,1,0,0,0,1,0,1
2558,2899,0.5,0.5,0,0,0,0,1
2041,439,1,0,0,0,1,0,1
2076,1988,1,0,1,0,0,1,0
1986,292,0,1,0,0,1,0,1
1994,2070,0,1,1,0,0,1,0
2080,1984,0,1,0,1,0,1,0
2905,2552,0.5,0.5,0,0,0,0,1
1990,2074,0,1,1,0,0,1,0
2068,1996,1,0,1,0,0,1,0
1976,2078,1,0,0,1,0,0,1
2050,293,1,0,0,0,1,0,1
2499,156,0,1,1,0,0,1,0
2034,255,1,0,0,0,1,0,1
2088,1987,0,1,0,0,1,1,0
1976,2099,1,0,1,0,0,0,1
2094,1981,1,0,1,0,0,0,1
1987,2088,0,1,1,0,0,0,1
2099,1976,0,1,0,0,1,0,1
1981,2094,0,1,1,0,0,0,1
2088,1987,1,0,1,0,0,0,1
1976,2099,1,0,0,0,1,0,1
2094,1981,1,0,1,0,0,0,1
1970,2105,1,0,1,0,0,0,1
2100,1981,1,0,1,0,0,0,1
1958,2111,1,0,0,0,1,0,1
2106,1963,1,0,1,0,0,0,1
1951,2118,1,0,0,1,0,0,1
1986,2112,0,1,1,0,0,0,1
2498,157,0,1,1,0,0,0,1
2060,441,1,0,0,0,1,0,1
2496,295,0,1,0,0,1,1,0
2062,443,1,0,0,0,1,0,1
2107,1991,1,0,1,0,0,1,0
2067,2100,0,1,1,0,0,0,1
2109,2058,0,1,0,0,1,1,0
1958,2104,0,1,1,0,0,1,0
2107,1955,0.5,0.5,0,0,0,0,1
1997,2101,0,1,1,0,0,0,1
2096,1966,1,0,1,0,0,1,0
1963,2099,0.5,0.5,0,0,0,0,1
2094,1968,1,0,1,0,0,1,0
1973,2089,0,1,1,0,0,0,1
2083,1979,1,0,1,0,0,0,1
1985,2077,0,1,1,0,0,0,1
2071,1991,1,0,1,0,0,1,0
2058,2071,0.5,0.5,0,0,0,0,1
2905,1502,1,0,0,0,1,0,1
1997,2065,0,1,1,0,0,0,1
2058,2004,1,0,1,0,0,0,1
1994,2068,1,0,0,0,1,0,1
2060,2066,1,0,0,0,1,0,1
1502,2905,0,1,0,0,1,0,1
1984,2070,1,0,0,1,0,0,1
2064,1990,1,0,1,0,0,0,1
2074,2056,0,1,1,0,0,0,1
2066,1980,0,1,0,1,0,0,1
1986,2060,0,1,1,0,0,0,1
2070,1976,0,1,0,0,1,1,0
1965,2081,1,0,0,0,1,0,1
2092,1954,0,1,0,0,1,0,1
1951,2095,0.5,0.5,0,0,0,0,1
2104,2065,0,1,0,0,1,0,1
1956,2099,0,1,1,0,0,0,1
2094,1961,1,0,1,0,0,0,1
2003,2088,0,1,1,0,0,0,1
2083,1966,1,0,1,0,0,1,0
1955,2094,1,0,1,0,0,0,1
2089,1960,1,0,1,0,0,0,1
1965,2084,0,1,1,0,0,0,1
2078,1971,1,0,1,0,0,0,1
1960,2089,1,0,0,1,0,0,1
2084,1965,1,0,1,0,0,0,1
1971,2078,0,1,1,0,0,0,1
2905,1302,1,0,0,0,1,0,1
2072,1977,1,0,1,0,0,1,0
2065,2010,1,0,1,0,0,0,1
1967,2075,1,0,1,0,0,1,0
2085,2000,0,1,0,0,1,1,0
2546,2911,0.5,0.5,0,0,0,0,1
1990,2095,1,0,1,0,0,0,1
2106,1979,0,1,0,0,1,0,1
2909,2548,1,0,0,0,1,1,0
1984,2101,0,1,1,0,0,0,1
2542,2915,0.5,0.5,0,0,0,0,1
2694,374,0.5,0.5,0,0,0,0,1
2913,2544,1,0,0,0,1,0,1
2095,1990,1,0,1,0,0,0,1
1988,2097,0.5,0.5,0,0,0,0,1
2666,649,1,0,0,0,1,0,1
2070,1951,0,1,0,0,1,0,1
2546,2911,0,1,0,1,0,0,1
2100,1985,0.5,0.5,0,0,0,0,1
1991,2094,0,1,1,0,0,0,1
2909,2548,1,0,0,0,1,0,1
2105,1980,0,1,1,0,0,0,1
2550,2907,0,1,0,0,1,0,1
1985,2100,0,1,1,0,0,0,1
2111,1974,0,1,0,0,1,0,1
1979,2106,0,1,1,0,0,0,1
2101,1984,1,0,1,0,0,1,0
2905,2552,1,0,0,0,1,1,0
2546,2911,0.5,0.5,0,0,0,0,1
2909,2548,1,0,0,0,1,0,1
1957,2096,0,1,1,0,0,1,0
2091,1962,1,0,1,0,0,0,1
1967,2086,0,1,1,0,0,1,0
2542,2915,0.5,0.5,0,0,0,0,1
2080,1973,1,0,1,0,0,1,0
